num_modules,num_memory_regions,num_private_regions,num_executable_regions,num_rw_regions,num_rx_regions,num_threads,num_handles,cpu_usage,working_set_mb,private_bytes_mb,io_read_mb,io_write_kb,entropy_mean,entropy_max,has_mz_header,has_pe_header,cross_process_writes_count,api_writeprocessmemory_count,api_createremotethread_count,ntqueueapc_present
18,204,11,0,11,0,1,98,0.0,3.38,0.97,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
86,996,113,0,113,0,7,851,0.0,31.65,10.04,0.9359,196.096,-1.0,-1.0,0,0,1,4,0,1
130,2431,1370,1,1369,1,25,582,1.171,43.47,100.52,237.61,798474.4448,0.8092,0.8092,0,0,10,9,0,1
24,234,18,0,18,0,4,79,0.0,3.68,1.23,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
51,528,41,0,41,0,5,252,0.0,12.04,2.91,0.6578,1.8432,-1.0,-1.0,0,0,1,4,0,1
38,396,20,0,20,0,3,188,0.0,7.84,2.0,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
261,3148,703,36,667,36,19,861,0.781,234.9,205.08,3.2611,169.984,4.3331,6.299,0,0,7,10,0,1
46,426,11,0,11,0,1,210,0.0,9.06,2.07,0.0308,0.0,-1.0,-1.0,0,0,1,4,0,1
145,1541,251,14,237,14,78,996,0.0,49.3,25.5,47.2024,211322.2656,1.6225,4.3973,0,0,2,4,0,1
20,269,42,0,42,0,2,105,0.0,4.23,6.19,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
165,1853,213,0,213,0,9,1098,0.0,60.44,19.56,307.3943,23086.7968,-1.0,-1.0,0,0,1,4,0,1
93,899,43,0,43,0,9,1260,0.0,37.72,9.98,1.5297,0.0,-1.0,-1.0,0,0,1,4,0,1
38,373,48,0,48,0,16,203,0.0,4.4,3.04,0.0524,0.0,-1.0,-1.0,0,0,1,4,0,1
53,922,62,0,62,0,7,412,0.0,21.33,9.71,1.8873,40019.968,-1.0,-1.0,0,0,1,4,0,1
126,1619,220,18,202,18,19,582,0.0,14.97,45.48,0.8647,1.536,3.0022,6.6278,0,0,1,4,2,1
55,700,83,0,83,0,11,406,0.0,5.11,5.37,0.6718,618.2912,-1.0,-1.0,0,0,1,4,0,1
53,567,42,0,42,0,11,776,0.0,23.09,5.64,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
93,960,220,69,151,69,5,349,0.0,22.11,55.18,0.6207,4.4032,3.2713,6.035,0,0,1,4,0,1
97,1729,400,5,395,5,35,890,0.0,24.97,79.68,4.0385,821.5552,5.5485,6.4467,0,0,1,4,0,1
338,6549,1828,9,1819,9,139,4792,0.0,216.07,232.54,2839.7844,2691512.2176,2.1996,2.5912,0,0,1,4,0,1
67,1682,166,0,166,0,15,804,0.0,48.54,40.03,36.5261,17774.7968,-1.0,-1.0,0,0,1,4,0,1
36,305,26,0,26,0,3,175,0.0,1.89,1.59,0.0032,1.7408,-1.0,-1.0,0,0,1,4,0,1
32,284,16,0,16,0,3,159,0.0,2.02,1.66,0.0005,0.512,-1.0,-1.0,0,0,1,4,0,1
40,474,56,0,56,0,11,304,0.0,8.92,2.89,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
144,2215,432,0,432,0,8,721,0.0,95.68,37.45,3.315,119.1936,-1.0,-1.0,0,0,1,4,0,1
112,1171,69,0,69,0,5,461,0.0,39.77,8.86,0.1839,0.0,-1.0,-1.0,0,0,1,4,0,1
182,7449,2900,37,2863,37,80,1770,0.0,121.41,206.95,56.9712,6096.6912,5.3671,6.263,0,0,1,4,0,1
110,1168,85,0,85,0,3,536,0.0,39.61,13.32,0.8281,0.6144,-1.0,-1.0,0,0,1,4,0,1
124,1549,208,0,208,0,25,829,0.0,63.25,58.63,0.1744,0.0,-1.0,-1.0,0,0,1,4,0,1
148,1874,289,1,288,1,23,1053,0.0,161.38,119.1,0.1206,49.152,3.0838,3.0838,0,0,1,4,0,1
498,5702,649,77,572,77,75,1239,0.195,285.63,408.54,713.3815,2424319.5904,4.9668,5.4432,0,0,2,5,0,1
86,1078,123,16,107,16,8,392,0.39,13.29,29.08,0.2557,0.4096,3.2556,6.5438,0,0,1,4,0,1
125,1242,159,1,158,1,43,895,0.195,58.24,78.47,35.011,0.3072,1.4554,1.4554,0,0,1,4,0,1
59,929,167,1,166,1,19,302,0.0,3.75,20.88,0.0311,81.3056,0.9211,0.9211,0,0,1,4,0,1
157,2198,349,29,320,29,26,941,0.0,20.62,64.5,5.807,11.1616,4.1846,6.6766,0,0,1,4,0,1
92,1901,623,2,621,2,144,545,0.0,6.87,1072.59,0.9776,5.12,5.5478,5.585,0,0,1,4,0,1
123,2048,871,0,871,0,111,987,0.0,86.0,130.64,269.0281,12330.8032,-1.0,-1.0,0,0,1,4,0,1
