meta_timestamp,meta_process_name,meta_pid,meta_process_path,proc_integrity,proc_elevated,proc_enabled_privilege_count,proc_module_count,proc_region_count,mod_non_file_backed_count,mem_exec_private_count,mem_mz_in_private_count,mem_high_entropy_exec_count,mem_max_exec_entropy,mem_avg_exec_entropy,alloc_total_private_committed,alloc_exec_count,alloc_mz_or_pe_count,prot_total_changes,prot_gained_exec_count,prot_lost_write_count,write_changed_region_count,write_confirmed_writer_count,nt_direct_import_count,nt_high_value_import_count,nt_syscall_stub_count,nt_hook_count,thread_total,thread_in_private_exec,rthread_new_count,rthread_from_external,mmap_anomalous_count,mmap_no_file_backing,mmap_not_in_win32,mmap_not_in_ldr,handle_external_total,handle_dangerous_count,handle_has_vm_write,handle_has_create_thread,handle_has_all_access,api_virtual_alloc_count,api_virtual_protect_count,api_protect_exec_count,api_write_memory_count,api_create_thread_count,api_total_events,perf_cpu_percent,perf_working_set_mb,perf_private_bytes_mb,perf_handle_count,perf_thread_count,perf_io_read_mb,perf_io_write_mb,sample_total_captured,sample_mz_header_count,sample_syscall_stub_count,sample_shellcode_hint_count
2026-04-29T19:37:51,AsusCertService.exe,1736,C:\Program Files (x86)\ASUS\AsusCertService\AsusCertService.exe,4,1,16,35,337,0,0,0,0,-1,-1,35,0,0,0,0,0,1,0,247,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,6.54,2.12,190,5,69.5193,0.0,1,0,0,0
2026-04-29T19:37:57,svchost.exe,1932,C:\Windows\System32\svchost.exe,4,1,16,84,821,0,0,0,0,-1,-1,59,0,0,0,0,0,1,1,330,1,0,0,12,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,0,4,0.0,13.84,4.1,438,12,0.0003,0.0005,1,0,0,0
2026-04-29T19:38:04,svchost.exe,1980,C:\Windows\System32\svchost.exe,4,1,4,55,819,0,0,0,0,-1,-1,167,0,0,0,0,0,1,0,296,2,0,0,12,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,0,4,0.0,15.9,12.6,426,12,0.0001,0.0314,1,0,0,0
2026-04-29T19:38:10,NVDisplay.Container.exe,2036,C:\Windows\System32\DriverStore\FileRepository\nvmdi.inf_amd64_98af6b31f4d34a19\Display.NvContainer\NVDisplay.Container.exe,4,1,18,135,1781,0,0,0,0,-1,-1,323,0,0,0,0,0,1,0,630,2,0,0,29,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,4,0,4,0.0,50.48,37.1,745,30,26.937,5.0059,2,1,0,0
2026-04-29T19:38:17,WmiPrvSE.exe,2196,C:\Windows\System32\wbem\WmiPrvSE.exe,4,1,16,80,971,0,0,0,0,-1,-1,124,0,0,0,0,0,1,0,469,1,0,0,7,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,0,4,0.0,17.82,13.88,400,7,1.6478,0.0002,1,0,0,0
2026-04-29T19:38:23,WmiPrvSE.exe,2204,C:\Windows\System32\wbem\WmiPrvSE.exe,4,1,3,101,1164,0,0,0,0,-1,-1,107,0,0,0,0,0,3,0,441,1,0,0,10,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,4,0,4,0.39,41.48,27.86,527,10,89.9202,1.0901,4,1,0,0
2026-04-29T19:38:30,svchost.exe,2348,C:\Windows\System32\svchost.exe,4,1,2,60,662,0,0,0,0,-1,-1,72,0,0,0,0,0,1,0,303,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,16.39,5.58,659,11,0.0,0.0,1,0,0,0
2026-04-29T19:38:36,svchost.exe,2444,C:\Windows\System32\svchost.exe,4,1,8,67,1008,0,0,0,0,-1,-1,202,0,0,0,0,0,43,0,289,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,56,0.0,30.65,13.99,328,7,82.7909,0.2317,43,0,0,0
2026-04-29T19:38:43,audiodg.exe,2516,C:\Windows\System32\audiodg.exe,4,1,2,40,532,0,0,0,0,-1,-1,70,0,0,0,0,0,3,0,271,1,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,12,0.195,16.62,9.98,330,9,0.0,0.0,3,0,0,0
2026-04-29T19:38:50,atkexComSvc.exe,2564,C:\Program Files (x86)\ASUS\AXSP\4.03.12\atkexComSvc.exe,4,1,16,47,396,0,0,0,0,-1,-1,31,0,0,0,0,0,1,0,723,7,0,0,3,0,0,0,42,0,0,42,2,0,0,0,0,0,0,0,4,0,4,0.0,9.73,6.55,229,3,0.8672,0.0452,43,42,0,0
2026-04-29T19:38:57,svchost.exe,2716,C:\Windows\System32\svchost.exe,4,1,3,58,1112,0,0,0,0,-1,-1,309,0,0,0,0,0,2,2,349,1,0,0,18,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,0,4,0.0,35.52,33.83,543,18,239.5219,19.7263,2,0,0,0
2026-04-29T19:39:03,svchost.exe,3060,C:\Windows\System32\svchost.exe,4,1,3,37,406,0,0,0,0,-1,-1,34,0,0,0,0,0,1,0,188,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,7.09,1.93,209,5,0.0,0.0,1,0,0,0
2026-04-29T19:39:10,svchost.exe,3088,C:\Windows\System32\svchost.exe,4,1,2,42,460,0,0,0,0,-1,-1,40,0,0,0,0,0,1,0,208,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,8.8,2.45,372,4,0.0,0.0,1,0,0,0
2026-04-29T19:39:16,svchost.exe,3096,C:\Windows\System32\svchost.exe,4,1,3,50,509,0,0,0,0,-1,-1,33,0,0,0,0,0,1,0,259,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,10.67,2.28,222,3,0.0,0.0,1,0,0,0
2026-04-29T19:39:23,spoolsv.exe,3208,C:\Windows\System32\spoolsv.exe,4,1,4,105,1012,0,0,0,0,-1,-1,68,0,0,0,0,0,1,0,482,2,0,0,10,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,4,0,4,0.0,27.26,14.4,775,10,0.0232,0.0025,2,1,0,0
2026-04-29T19:39:30,Corsair.Service.exe,3432,E:\Program Files\Icue\Corsair iCUE5 Software\Corsair iCUE5 Software\clink\Corsair.Service.exe,4,1,16,69,1649,0,39,0,0,6.6029,4.7835,340,39,0,0,0,0,5,0,782,7,256,0,41,0,0,0,109,0,45,109,1,0,0,0,0,0,0,0,6,0,6,1.171,46.52,29.51,701,40,1836.7043,831.4444,134,109,0,1
2026-04-29T19:39:36,svchost.exe,3444,C:\Windows\System32\svchost.exe,4,1,3,63,642,0,0,0,0,-1,-1,51,0,0,0,0,0,1,0,321,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,13.08,4.2,409,6,0.0,0.0995,1,0,0,0
2026-04-29T19:39:43,ArmouryCrate.Service.exe,3452,C:\Program Files\ASUS\Armoury Crate Service\ArmouryCrate.Service.exe,4,1,18,121,1226,0,14,0,0,4.3608,1.6178,166,14,0,0,0,0,1,1,451,2,0,0,51,0,0,0,3,0,3,3,1,0,0,0,0,0,0,0,4,0,4,0.0,33.23,18.3,818,51,15.9956,1.1773,18,3,0,0
2026-04-29T19:39:49,GameInputRedistService.exe,3476,C:\Program Files\Microsoft GameInput\x64\GameInputRedistService.exe,4,1,16,50,525,0,0,0,0,-1,-1,41,0,0,0,0,0,1,0,297,1,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,0.0,11.14,20.7,234,11,0.0079,0.0298,1,0,0,0
2026-04-29T19:39:55,LightKeeperService.exe,3496,C:\Program Files (x86)\MSI\MSI Center\Mystic Light\LightKeeperService.exe,4,1,16,57,724,0,12,0,0,6.5156,3.0049,90,12,0,0,0,0,1,0,766,8,1,0,8,0,0,0,55,0,3,55,0,0,0,0,0,0,0,0,4,0,4,0.0,26.75,18.24,325,9,0.4284,0.0003,68,55,0,0
2026-04-29T19:40:02,Mystic_Light_Service.exe,3508,C:\Program Files (x86)\MSI\MSI Center\Mystic Light\Mystic_Light_Service.exe,4,1,16,39,569,0,17,0,0,5.7829,2.2547,54,17,0,0,0,0,1,0,168,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,16.73,16.66,219,3,0.0535,0.0,18,0,0,0
2026-04-29T19:40:09,CCleaner_service.exe,3516,C:\Program Files\Piriform\CCleaner 7\CCleaner_service.exe,4,1,20,123,2499,0,0,0,0,-1,-1,1187,0,0,0,0,0,1,0,633,5,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,68.34,245.62,1397,59,16.2089,3.5719,1,0,0,0
2026-04-29T19:40:16,MSI_Central_Service.exe,3524,C:\Program Files (x86)\MSI\MSI Center\MSI_Central_Service.exe,4,1,16,51,393,0,0,0,0,-1,-1,25,0,0,0,0,0,1,0,809,8,0,0,2,0,0,0,46,0,0,46,0,0,0,0,0,0,0,0,4,0,4,0.0,12.42,1.95,280,2,0.0,0.0004,47,46,0,0
2026-04-29T19:40:22,ROGLiveService.exe,3544,C:\Program Files\ASUS\ROG Live Service\ROGLiveService.exe,4,1,16,64,642,0,0,0,0,-1,-1,99,0,0,0,0,0,1,0,336,2,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,20.39,11.41,402,35,5464.9402,0.1788,1,0,0,0
2026-04-29T19:40:29,lghub_updater.exe,3560,C:\Program Files\LGHUB\lghub_updater.exe,4,1,16,70,835,0,0,0,0,-1,-1,232,0,0,0,0,0,1,0,442,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,24.84,20.52,392,50,88.6395,9.5614,1,0,0,0
2026-04-29T19:40:35,AsusFanControlService.exe,3568,C:\Program Files (x86)\ASUS\AsusFanControlService\2.03.43\AsusFanControlService.exe,4,1,16,68,593,0,0,0,0,-1,-1,73,0,0,0,0,0,1,0,797,7,0,0,6,0,0,0,63,0,0,63,0,0,0,0,0,0,0,0,4,0,4,0.0,14.3,3.52,295,6,2.9311,0.0313,64,63,0,0
2026-04-29T19:40:42,MSI_Case_Service.exe,3592,C:\Program Files (x86)\MSI\MSI Center\Case\MSI_Case_Service.exe,4,1,16,50,580,0,14,0,0,6.3422,1.3764,68,14,0,0,0,0,1,0,694,7,1,0,5,0,0,0,47,0,2,47,0,0,0,0,0,0,0,0,4,0,4,0.0,16.92,8.43,277,5,0.0511,0.0002,62,47,0,0
2026-04-29T19:40:48,dasHost.exe,3624,C:\Windows\System32\dasHost.exe,4,1,3,47,492,0,0,0,0,-1,-1,35,0,0,0,0,0,1,0,253,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,11.78,3.83,348,3,0.0,0.0,1,0,0,0
2026-04-29T19:40:55,gamingservicesnet.exe,4180,C:\Program Files\WindowsApps\Microsoft.GamingServices_35.112.23002.0_x64__8wekyb3d8bbwe\gamingservicesnet.exe,4,1,3,34,497,0,0,0,0,-1,-1,111,0,0,0,0,0,1,0,215,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,7.6,11.96,327,38,0.0,0.0625,1,0,0,0
2026-04-29T19:41:02,gamingservices.exe,4256,C:\Program Files\WindowsApps\Microsoft.GamingServices_35.112.23002.0_x64__8wekyb3d8bbwe\gamingservices.exe,4,1,16,134,1708,0,0,0,0,-1,-1,289,0,0,0,0,0,1,0,771,3,0,0,20,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,4,0,4,0.195,52.11,15.54,854,20,17.8926,26.2112,2,1,0,0
